Title,Price,Image,Rating
"My iPad for Seniors: Covers Ios 7 for Ipad Air, 3rd / 4th Generation, Ipad 2, and Ipad Mini","$8.36","https://m.media-amazon.com/images/I/51eDFkFlnKL._AC_UL320_.jpg","4.3 out of 5 stars"
"Blackfish Vs White Pointer","$0.00","https://m.media-amazon.com/images/I/81ek6ZJuGoL._AC_UL320_.jpg","4.4 out of 5 stars"
"The Shape Song Swingalong (Barefoot Books Singalongs)","$9.99","https://m.media-amazon.com/images/I/A1MFX0yEsQL._AC_UL320_.jpg","4.7 out of 5 stars"
"Manipulation: How to Secretly Manipulate People: Discover How to Manipulate, Persuade, and Influence Anyone, Taking Advantage of Human Psychology","$0.00","https://m.media-amazon.com/images/I/81+Au51ZNgL._AC_UL320_.jpg","3.8 out of 5 stars"
"The Mouse of Amherst","$13.10","https://m.media-amazon.com/images/I/71SOVlU5BwL._AC_UL320_.jpg","4.8 out of 5 stars"
"The Tinkerer's Guide to the micro:bit Galaxy","$12.99","https://m.media-amazon.com/images/I/61au58UfvVL._AC_UL320_.jpg","4.5 out of 5 stars"
"Sony 8hrs Premium Grade T-160 VHS Video Cassette","$14.94","https://m.media-amazon.com/images/I/81r2TvOSSIL._AC_UL320_.jpg","4.0 out of 5 stars"
"Incendio (La Saga nº 3) (Spanish Edition)","$0.00","https://m.media-amazon.com/images/I/81YbmnvtjTL._AC_UL320_.jpg","5.0 out of 5 stars"
"Praising Jesus in South Sudan: ACROSS Shukuru Yesu Jubilee Edition","$14.99","https://m.media-amazon.com/images/I/61j77Bnoq0L._AC_UL320_.jpg","3.5 out of 5 stars"
"The Inside Guide to the iPad for Seniors: Covers the iPad Air, iPad Air 2, iPad Mini 2, iPad Mini 3, iOS 8","$8.99","https://m.media-amazon.com/images/I/61BraKMle9L._AC_UL320_.jpg","3.9 out of 5 stars"
"Anime 5E Fifth Edition Fantasy (Anime 5E Character Folio) (JPG818)","$9.15","https://m.media-amazon.com/images/I/61WUz7n915L._AC_UL320_.jpg","4.4 out of 5 stars"
"iPad for Seniors in easy steps, 9th edition","$9.99","https://m.media-amazon.com/images/I/81KpnMnnoZL._AC_UL320_.jpg","4.2 out of 5 stars"
"Manual del Sommelier de Té (Spanish Edition)","$19.95","https://m.media-amazon.com/images/I/71qB7QlKPWL._AC_UL320_.jpg","4.6 out of 5 stars"
"Estudios sobre la alquimia (Spanish Edition)","$5.99","https://m.media-amazon.com/images/I/71oUt0qAAqL._AC_UL320_.jpg","4.1 out of 5 stars"
"FDR and the End of Empire: The Origins of American Power in the Middle East (The World of the Roosevelts)","$14.22","https://m.media-amazon.com/images/I/61OvLp63mIL._AC_UL320_.jpg","5.0 out of 5 stars"
"Lives Across Cultures: Cross-Cultural Human Development","$89.99","https://m.media-amazon.com/images/I/713f+xg7lTL._AC_UL320_.jpg","4.4 out of 5 stars"
"Orthodox Prayer Book (St George Monastery 14)","$0.00","https://m.media-amazon.com/images/I/81TrzY2MUnL._AC_UL320_.jpg","4.5 out of 5 stars"
"Chainsaw Man 8 (Japanese Edition)","$14.90","https://m.media-amazon.com/images/I/71QjmRc1ObL._AC_UL320_.jpg","4.8 out of 5 stars"
"Little House on The Prairie","$14.63","https://m.media-amazon.com/images/I/51qNUcicA7L._AC_UL320_.jpg","4.7 out of 5 stars"
"Computer-Aided Pattern Design and Product Development","$41.00","https://m.media-amazon.com/images/I/51u-s-c9-jL._AC_UL320_.jpg","3.1 out of 5 stars"
"A vida secreta das árvores: O que elas sentem e como se comunicam - As descobertas de um mundo oculto (Portuguese Edition)","$6.15","https://m.media-amazon.com/images/I/813KSStMT2L._AC_UL320_.jpg","4.6 out of 5 stars"
"Sowing the Mustard Seed: The Struggle for Freedom and Democracy in Uganda","$72.77","https://m.media-amazon.com/images/I/71HExLYGysL._AC_UL320_.jpg","4.1 out of 5 stars"
"Diccionario Folklórico Guaranítico (Spanish Edition)","$30.00","https://m.media-amazon.com/images/I/71MJ949wp-L._AC_UL320_.jpg","Null"
"Mitos de la Región Guaraní (Spanish Edition)","$20.00","https://m.media-amazon.com/images/I/71fWA8EL1BL._AC_UL320_.jpg","4.0 out of 5 stars"
"Sordera Y Lenguaje: Neurociencias Y Logogenia.Experiencias Lingüísticas Con Niños Sordos (Spanish Edition)","$15.00","https://m.media-amazon.com/images/I/71n7vW4Ao9L._AC_UL320_.jpg","Null"
"Amor, odio y otros filtros (Spanish Edition)","$8.99","https://m.media-amazon.com/images/I/81TjEUe2vdL._AC_UL320_.jpg","4.0 out of 5 stars"
"Mastering KVM Virtualization: Explore cutting-edge Linux KVM virtualization techniques to build robust virtualization solutions","$31.81","https://m.media-amazon.com/images/I/91opDj9w3AL._AC_UL320_.jpg","4.1 out of 5 stars"
"Educar sem pirar - Guia pratico da PsiMama para descomplicar a vida com filhos (Em Portugues do Brasil)","$29.73","https://m.media-amazon.com/images/I/81k42D6WZZS._AC_UL320_.jpg","4.8 out of 5 stars"
"Secretos familiares: ¿Decretos personales? (Spanish Edition)","$15.95","https://m.media-amazon.com/images/I/610pgRlzAbL._AC_UL320_.jpg","4.5 out of 5 stars"
"Dark Ink","$7.99","https://m.media-amazon.com/images/I/71JUczZmxBL._AC_UL320_.jpg","4.2 out of 5 stars"
"Édipo: O complexo do qual nenhuma criança escapa (Portuguese Edition)","$7.99","https://m.media-amazon.com/images/I/71ea3BcuN1L._AC_UL320_.jpg","4.8 out of 5 stars"
"O complexo do bode expiatório: Um estudo sobre a mitologia da sombra e da culpa (Portuguese Edition)","$5.99","https://m.media-amazon.com/images/I/91UF3r2S9JL._AC_UL320_.jpg","4.6 out of 5 stars"
"CADA RESPIRACIÓN PROFUNDA: La experiencia de un intensivista sobre curar y sanar (Spanish Edition)","$0.00","https://m.media-amazon.com/images/I/61EJI1k03YL._AC_UL320_.jpg","Null"
"ROBÓTICA EDUCATIVA: Para Aprender a Pensar (Spanish Edition)","$20.99","https://m.media-amazon.com/images/I/61HYo0GjT7L._AC_UL320_.jpg","2.0 out of 5 stars"
"Misterios develados (Metafísica esencial) (Spanish Edition)","$16.44","https://m.media-amazon.com/images/I/51yoJGGYurL._AC_UL320_.jpg","4.7 out of 5 stars"
"iPad Pages: Hands-On Projects for iPad Pages","$1.99","https://m.media-amazon.com/images/I/61XcJD85UgL._AC_UL320_.jpg","3.5 out of 5 stars"
"Qué solos se quedan los muertos (Alianza Literaturas) (Spanish Edition)","$8.63","https://m.media-amazon.com/images/I/81CTocl+diL._AC_UL320_.jpg","4.2 out of 5 stars"
"SCARFACE (1983) (BLU RAY/DVD/DIGITAL W/UV/STEELBOOK/2DISCS)-NLA","$62.99","https://m.media-amazon.com/images/I/51sOZrIMiDL._AC_UL320_.jpg","4.8 out of 5 stars"
"El rey serpiente (Spanish Edition)","$9.99","https://m.media-amazon.com/images/I/81ohp09E1iL._AC_UL320_.jpg","5.0 out of 5 stars"
"El Dios de Jesús (Spanish Edition)","$20.00","https://m.media-amazon.com/images/I/71D2DzeSgOL._AC_UL320_.jpg","Null"
"Mac OS X Leopard: The Missing Manual","$15.00","https://m.media-amazon.com/images/I/81kwdVbCuPL._AC_UL320_.jpg","4.3 out of 5 stars"
"Gongyo TLK Liturgy of the Nichiren School","$17.50","https://m.media-amazon.com/images/I/71hCj2tRxqL._AC_UL320_.jpg","5.0 out of 5 stars"
"Grace Is Good To Die By: To Die Knowing Grace Is To Die Having Peace","$7.50","https://m.media-amazon.com/images/I/61cNXugEYrL._AC_UL320_.jpg","Null"
"Insurance Risk Management and Reinsurance","$51.58","https://m.media-amazon.com/images/I/61xmabPZrbL._AC_UL320_.jpg","4.5 out of 5 stars"
"Leer y comprender con Logogenia: Primeras etapas del desarrollo lingüístico de una niña sorda (Spanish Edition)","$15.00","https://m.media-amazon.com/images/I/616T+82IcRL._AC_UL320_.jpg","Null"
"Nero Oriente Midsized Sewn Lined Notebook","$7.74","https://m.media-amazon.com/images/I/419r0+9DkbL._AC_UL320_.jpg","4.4 out of 5 stars"
"Notary Journal with PrivaShield","$22.95","https://m.media-amazon.com/images/I/915Z67vfkJL._AC_UL320_.jpg","4.2 out of 5 stars"
"The Arrival Of The Queen Of Sheba (From Solomon)","$4.99","https://m.media-amazon.com/images/I/41Naddybt3L._AC_UL320_.jpg","3.9 out of 5 stars"
"Cartas de um terapeuta para seus momentos de crise (Portuguese Edition)","$7.99","https://m.media-amazon.com/images/I/91ThjI-0ykL._AC_UL320_.jpg","4.5 out of 5 stars"
"God the Master Strategist: Biblical Leadership Lessons for Twenty-First Century Africa","$9.99","https://m.media-amazon.com/images/I/71nCtrKupwL._AC_UL320_.jpg","Null"
"Your Mandala: Notebook Da Colorare (Italian Edition)","$6.99","https://m.media-amazon.com/images/I/61WN7P4X47L._AC_UL320_.jpg","Null"
"My life is but a weaving","$0.00","https://m.media-amazon.com/images/I/71IgQ6gbxyL._AC_UL320_.jpg","Null"
"A pequena confeitaria de Paris (Destinos Românticos Livro 3) (Portuguese Edition)","$7.99","https://m.media-amazon.com/images/I/81NSCPVzliL._AC_UL320_.jpg","4.5 out of 5 stars"
"64-bit RISC Processor using VHDL","$49.00","https://m.media-amazon.com/images/I/51EmHtcymBL._AC_UL320_.jpg","Null"
"Translation Medic: Russian, Chinese, and Spanish Translation","$25.00","https://m.media-amazon.com/images/I/61aFh5t00TL._AC_UL320_.jpg","Null"
"My MacBook, Portable Documents","$14.39","https://m.media-amazon.com/images/I/419n0nkItKL._AC_UL320_.jpg","4.0 out of 5 stars"
"Malos hábitos (Spanish Edition)","$0.00","https://m.media-amazon.com/images/I/81p9eRlX1IL._AC_UL320_.jpg","Null"
"Get Sh*t Done Unicorn Day Planner: For Basic B's with a Sense of Humor","$10.99","https://m.media-amazon.com/images/I/61FhgOO1msL._AC_UL320_.jpg","Null"
"Cognitive Behavioral Therapy Mastery: How to Master Your Brain & Your Emotions to Overcome Depression, Anxiety and Phobias","$0.00","https://m.media-amazon.com/images/I/81-NW-wEokL._AC_UL320_.jpg","3.5 out of 5 stars"
"Runaway Bride [VHS]","$13.99","https://m.media-amazon.com/images/I/71ErBnEKFvL._AC_UL320_.jpg","4.7 out of 5 stars"
"Correr o morir (renovación) (Maze Runner nº 1) (Spanish Edition)","$9.99","https://m.media-amazon.com/images/I/81syeCWKx+L._AC_UL320_.jpg","4.9 out of 5 stars"
"Atragantados: Todo lo que quisiste decir y no dijiste. Todo lo que quisiste hacer y no hiciste (Spanish Edition)","$8.99","https://m.media-amazon.com/images/I/71qDjfsYXFL._AC_UL320_.jpg","Null"
"Parkinson: ¿Por qué a mí? (Spanish Edition)","$7.99","https://m.media-amazon.com/images/I/71BnCU0eoOL._AC_UL320_.jpg","2.0 out of 5 stars"
"Até que conheci você (Clube de Apostas Craven's Livro 1) (Portuguese Edition)","$6.15","https://m.media-amazon.com/images/I/81DkWqAOAGL._AC_UL320_.jpg","4.6 out of 5 stars"
"The Law","$0.00","https://m.media-amazon.com/images/I/61FrYGQFCaL._AC_UL320_.jpg","4.7 out of 5 stars"
"Mousepads, Shoe Leather, and Hope: Lessons from the Howard Dean Campaign for the Future of Internet Politics (ISSN)","$28.39","https://m.media-amazon.com/images/I/516rpvR9W4L._AC_UL320_.jpg","5.0 out of 5 stars"
"Internet Password Logbook: For women and girls","$5.99","https://m.media-amazon.com/images/I/41KVFxNlpXL._AC_UL320_.jpg","4.6 out of 5 stars"
"Media Composer 6: Part 1 - Editing Essentials (Avid Learning)","$47.99","https://m.media-amazon.com/images/I/81EAcoBextL._AC_UL320_.jpg","4.0 out of 5 stars"
"La Palabra de Dios: Discursos completos (Metafísica esencial) (Spanish Edition)","$16.44","https://m.media-amazon.com/images/I/61npCWhPhWL._AC_UL320_.jpg","5.0 out of 5 stars"
"Hand Held Hollywood's Filmmaking with the iPad & iPhone","$37.99","https://m.media-amazon.com/images/I/61Oufvnj-NL._AC_UL320_.jpg","4.3 out of 5 stars"
"Stranger Things - Runaway Max [French Version]","$0.00","https://m.media-amazon.com/images/I/91anETjt-nL._AC_UL320_.jpg","4.5 out of 5 stars"
"Farflung: Sci-Fi Role-Play After Dark (SGPB001)","$49.95","https://m.media-amazon.com/images/I/51pLYGmZHLL._AC_UL320_.jpg","4.0 out of 5 stars"
"GLORY WRAPPED IN SHAME: AN EXEGETICAL STUDY OF THE PASSION NARRATIVE IN THE GOSPEL OF ST. JOHN, HIGH LIGHTING IT’S HISTORICAL AND THEOLOGICAL INSIGHTS","$15.00","https://m.media-amazon.com/images/I/613R2DCPVNL._AC_UL320_.jpg","Null"
"Chakras. Energías vitales (Spanish Edition)","$5.99","https://m.media-amazon.com/images/I/81nA57fbIzL._AC_UL320_.jpg","4.3 out of 5 stars"
